episode,reward,loss,len,e
151,19.038575679450073,26.621752,6,0.00988836470966
152,18.976113760891916,22.933268,6,0.00988836470966
153,18.963464652901237,25.142382,6,0.00988836470966
154,18.53268032079843,35.071747,7,0.00988836470966
155,-23.727209617342783,67.096275,20,0.00988836470966
156,-13.162679416110308,58.11537,11,0.00988836470966
157,18.72106417313949,40.49771,7,0.00988836470966
158,18.828254622687414,42.19723,6,0.00988836470966
159,18.84572002862586,14.340421,6,0.00988836470966
160,18.826836732470237,26.408396,6,0.00988836470966
161,18.852041374461013,28.524435,6,0.00988836470966
162,18.829725687723744,8.7086935,6,0.00988836470966
163,17.392485972817894,45.35735,11,0.00988836470966
164,18.97234424541801,21.70287,6,0.00988836470966
165,18.981531638923713,24.470045,6,0.00988836470966
166,18.97014887919821,25.864561,6,0.00988836470966
167,18.46948472637849,40.67366,8,0.00988836470966
168,19.03952125461796,31.040606,6,0.00988836470966
169,18.96821385140756,29.00187,6,0.00988836470966
170,18.9777090656586,29.357908,6,0.00988836470966
171,19.539401445080813,19.609594,4,0.00988836470966
172,19.539570429232306,20.402893,4,0.00988836470966
173,19.535426194773827,21.356476,4,0.00988836470966
174,-15.791302414844482,134.07361,20,0.00988836470966
175,18.449989840987186,33.504448,8,0.00988836470966
176,18.186324024377708,62.58746,10,0.00988836470966
177,-13.346404274014429,71.06911,20,0.00988836470966
178,-16.014043799508933,65.39728,20,0.00988836470966
179,-15.917219734159318,108.76717,20,0.00988836470966
180,18.838559624760258,14.685223,6,0.00988836470966
181,19.050982331445926,37.78619,6,0.00988836470966
182,18.95610887987196,22.084255,6,0.00988836470966
183,19.53693026410075,21.339905,4,0.00988836470966
184,-16.53814489682002,18.683138,10,0.00988836470966
185,19.537817187555135,7.474147,4,0.00988836470966
186,19.53614774693282,13.856365,4,0.00988836470966
187,-15.998672819778411,67.070175,20,0.00988836470966
188,-15.244012362846938,97.72864,20,0.00988836470966
189,16.00521433932795,75.87365,15,0.00988836470966
190,19.52998687913042,17.977669,4,0.00988836470966
191,19.546766543353726,15.170895,4,0.00988836470966
192,19.535914122868036,10.250183,4,0.00988836470966
193,19.529009039830306,17.842525,4,0.00988836470966
194,19.54388924670983,6.8735504,4,0.00988836470966
195,19.536623534733472,8.123697,4,0.00988836470966
196,19.539448654651252,5.7776256,4,0.00988836470966
197,19.107867953324988,11.30636,6,0.00988836470966
198,19.540303027280327,10.057259,4,0.00988836470966
199,-15.649001360003236,96.580154,20,0.00988836470966
200,-23.358464067622684,82.27617,20,0.00988836470966
201,14.505142179177113,58.444424,18,0.00988836470966
202,17.95835523166073,64.59004,11,0.00988836470966
203,17.146767479088197,63.481503,12,0.00988836470966
204,18.062919776711553,98.93303,10,0.00988836470966
205,17.736927421743324,54.381485,12,0.00988836470966
206,-21.12536020862435,88.784546,20,0.00988836470966
207,-15.254190695910985,101.69822,20,0.00988836470966
208,19.53501775705623,15.33506,4,0.00988836470966
209,-12.730698289207814,34.338135,14,0.00988836470966
210,-11.40671739581932,47.201653,8,0.00988836470966
211,-12.501283900010108,72.310425,15,0.00988836470966
212,-12.38329499493576,44.19587,12,0.00988836470966
213,-15.583944026783655,70.8619,20,0.00988836470966
214,-10,0.5909114,1,0.00988836470966
215,19.54242502380442,11.071785,4,0.00988836470966
216,-13.267941717741671,62.860016,16,0.00988836470966
217,-13.234012533329814,112.45714,16,0.00988836470966
218,19.535724251590945,26.214346,4,0.00988836470966
219,-14.739514933802305,98.18242,20,0.00988836470966
220,-16.016161080292147,95.94758,20,0.00988836470966
221,14.80395686186002,82.99896,19,0.00988836470966
222,-12.309891776336155,115.09991,20,0.00988836470966
223,-16.00352879538067,156.32866,20,0.00988836470966
224,-11.825244822744633,70.510574,11,0.00988836470966
225,19.534878871964374,24.779781,4,0.00988836470966
226,18.988438741723886,55.418568,8,0.00988836470966
227,19.537706867081983,23.529547,4,0.00988836470966
228,19.532710277976726,36.112675,4,0.00988836470966
229,19.541779734251943,29.169216,4,0.00988836470966
230,19.535544966052015,18.653606,4,0.00988836470966
231,19.54405359230349,8.650631,4,0.00988836470966
232,-10.698130015486267,20.394428,6,0.00988836470966
233,19.538846310946976,17.432312,4,0.00988836470966
234,-14.308077766108497,108.45522,20,0.00988836470966
235,-14.112795218116831,87.46624,20,0.00988836470966
236,19.534384928989738,22.039076,4,0.00988836470966
237,19.53851667820461,22.260633,4,0.00988836470966
238,19.53599699135029,22.35328,4,0.00988836470966
239,19.54428946169704,15.396967,4,0.00988836470966
240,19.534506788127704,19.48589,4,0.00988836470966
241,19.541712401037767,14.493494,4,0.00988836470966
242,19.533827529892896,7.824553,4,0.00988836470966
243,19.541394995285202,11.788082,4,0.00988836470966
244,19.534126448535563,33.730515,4,0.00988836470966
245,19.53461004686654,17.864517,4,0.00988836470966
246,-12.632435850743018,87.66214,20,0.00988836470966
247,19.544224896186453,13.034662,4,0.00988836470966
248,19.535534785429256,7.5443487,4,0.00988836470966
249,19.540674429088217,24.521824,4,0.00988836470966
250,-15.798545608198175,67.44944,20,0.00988836470966
251,-12.782678415169048,79.574814,20,0.00988836470966
252,19.53365589736631,16.989859,4,0.00988836470966
253,19.53663365173345,20.528461,4,0.00988836470966
254,19.541011082921113,13.144624,4,0.00988836470966
255,19.538917407731685,12.9478245,4,0.00988836470966
256,19.538728466166035,16.559164,4,0.00988836470966
257,19.535773523379522,16.619568,4,0.00988836470966
258,19.544717406273442,8.041363,4,0.00988836470966
259,19.5349458064813,42.651745,4,0.00988836470966
260,19.53961621416398,20.724426,4,0.00988836470966
261,19.54303811080736,17.968208,4,0.00988836470966
262,19.53388869483001,13.706261,4,0.00988836470966
263,-11.522376605603402,27.841892,8,0.00988836470966
264,16.3704950107256,97.03164,14,0.00988836470966
265,-11.633234198119787,35.146435,9,0.00988836470966
266,19.534129729578023,10.1138935,4,0.00988836470966
267,-12.625482306164447,49.60389,20,0.00988836470966
268,-14.2394290662592,153.85455,20,0.00988836470966
269,19.53498030885048,30.327045,4,0.00988836470966
270,19.537415005245965,16.413832,4,0.00988836470966
271,19.541250807621996,23.906574,4,0.00988836470966
272,19.541076374853045,21.606401,4,0.00988836470966
273,19.535236391530567,8.120934,4,0.00988836470966
274,-14.422825149751201,86.86328,20,0.00988836470966
275,19.536083617583188,14.5618305,4,0.00988836470966
276,19.53944454945574,23.409985,4,0.00988836470966
277,19.53451313237844,27.827248,4,0.00988836470966
278,19.540482830766294,12.002798,4,0.00988836470966
279,-14.159314456469104,80.80865,20,0.00988836470966
280,-14.19448729035077,83.694664,20,0.00988836470966
281,-14.463768382792033,82.405304,20,0.00988836470966
282,-14.471062809940307,130.31512,20,0.00988836470966
